id,stop_name
665,Dange Chowk
666,Mahatma gandhi School
667,Dalvivasti
668,Kuruli Phata
669,Jagtap Dairy
670,Laxman Nagar
671,Mundhwagaon Corner
672,Shivraj Nagar
673,Somatne Phata
674,16 Number
675,Lavlegaon
676,Shivrajnagar
677,16 Number
678,Kalewadi Phata
679,Chinchwad Station
680,Prayagdham Ashram
681,Rambaug
682,Ravet Pumping Station
683,Kusgaon Jilha Parishad Shala
684,Bhondve Vasti
685,Yelwadi
686,DSK Vishwa
687,Bhondve Vasti
688,Range Hills Corner
689,Kalyaninagar Pul
690,Kateshwarwadi Phata
691,Mehandale Garage
692,Jagtap Dairy
693,Kawadenagar
694,Kalewadi Phata
695,Navin Highway
696,Rangehills Corner
697,Tathawade
698,Wakad Phata
699,Cores Company
700,Yerwada Post Office
701,Simla Office/Shivaji Nagar
702,Vitbhatti Shivtarwadi
703,Engineering College
704,Kanbe Phata
705,Tathawade
706,Chaufula
707,Dange Chowk
708,Wakad Phata
709,Vimannagar Corner
710,Kachara Depot Devachi Urali
711,Kalyani Forge
712,Khanapur
713,Laxman Nagar
714,Gaikwadvasti Nasik Road
715,Canal
716,Bhosalevasti Uruli Kanchan
717,Pawar Vasti
718,Chinchwad Station
719,Gandhinagar
720,Maruti Mandir Vishalnagar
721,Pratiknagar
722,Mahila Mandal
723,Shikshaknagar
724,Suyash Mangal Karyalay
725,Pawarvasti Chikhali
726,Loyala Highschool
727,Dhanoragao
728,Pawar vasti
729,Hadapsar Gadital
730,Nhavi Sandas
731,Shane Paradise socity
732,Shubham Mangal Karyalay
733,Magar College
734,Rupeenagar
735,Shreekrushna Mandir
736,Fursungi
737,Amrai
738,Bhagwatvasti
739,Krushna Mandir Suncity
740,Poultry Farm Deccan
741,Ramnagar Bopkhel
742,NDA Hospital
743,Kolhewadi
744,Ammunition Factory Road
745,Dattakrupa Mangal Karyalay
746,Marado Company
747,Fatimanagar
748,Judson Highschool
749,Jakat Naka Mohammadwadi
750,Vishwakarma
751,Sangvi Phata
752,Poultry Farm Saurabh
753,Sangvi Phata
754,Bhairavnath Mandir Chande
755,Ramdas Maral
756,Rakshak Chowk
757,Rakshak Chowk
758,Tadiwala Road
759,M 23
760,Farshi Karkhana
761,Juna Motor Stand
762,PC Pole Company
763,Balewadigaon
764,Limb Center
765,Netajinagar
766,Shahu Colony
767,Pimpri Sandas
768,Mahaveer Company
769,Dnyaneshwar Society
770,Sangvi Phata
771,Dislevasti
772,Factory Hospital
773,Kalewadi Pump
774,Vykentesh Colony
775,Nehrunagar Corner
776,Poultry Farm Trimurti
777,Police Vasahat Gokhalenager
778,Godown Katraj Kondhwa Road
779,Mandharevasti
780,Pashan Tale
781,Poultry Farm Venkteshwara
782,Sinhagad
783,Chaitanya Sabhagruh
784,Diamond  Miter Company
785,Laxminagar Corner
786,Lonkarvasti
787,Lucky Farm
788,Pulachiwadi
789,Hirabaug
790,Muncipal Dawakhana
791,UP Hotel
792,Hirabaug
793,Bhairavnath Mandir Chande
794,Chikhali
795,Janakbaba Darga
796,Vadgaon Sheri Phata
797,ARDE Colony
798,Lodha Hospital
799,Pashan Naka Bus Stand
800,Devi Link
801,Dhayareshwar Industries
802,Sai Chowk Navisangvi
803,Manikbaug
804,Moze Vidyalay Alandi Road
805,Hinjawadi Jakat Naka Mumbai Road
806,Shivtejnagar Chowk
807,Shivnari Chowk Baner
808,Insurance Company
809,Appughar Corner
810,Kundan Hotel
811,Farm House Mulkhed
812,Shelkevasti
813,Chutkevasti
814,Pimpri Court
815,Karan Greens
816,Santoshi Mata Mandir Alandi
817,Vitthal Mandir Mhasolkar
818,Bakwoulf Colony
819,Bank Of India Dehuroad
820,Bhandarkar Institute
821,Ghata Khali
822,Shindewadi Satara Road
823,Shitolevasti Lavle
824,Yewalewadi
825,Vastu Udyog
826,Jilha Parishad Shala
827,MSB Pumping Station
828,Pune Station
829,Shiwne
830,Ghodyachi Paga
831,Holkarwadi
832,Garden City
833,Ovhalvasti
834,Godown Katraj Kondhwa Road
835,Warje
836,Sai Corner
837,Walhekarwadi Corner
838,Shastrinagar Nagar Road
839,Chaphekar Chowk
840,Spine Road Chowk
841,Power House Ghotawade
842,Godambevasti
843,Shahu Chowk
844,Lagadmala
845,Tapkirnagar Charholi
846,Kalashankar
847,Vijaynagar
848,Vaddhara Bandhara
849,Jadhavwadi Phata Chikhali
850,Shubham Mangal Karyalay
851,Kumbhar Wada
852,Joona Hinjawadi Jakat Naka
853,Shitolevasti Lavle
854,Velu Phata
855,Jamadarvasti
856,Bhau Patil Chowk
857,Tendulkarvasti
858,P And T Colony
859,Vadgaon Budruk Phata
860,Kanifnath Society
861,Agam Mandir Paytha
862,Maruti Mandir Sambhajinagar
863,COP Hostel
864,Patilnagar
865,Nigde Phata
866,Neeta Park
867,Someshwarwadi Phata
868,Gadital
869,Sadu Nanavasti
870,Warpe Farm
871,Phulgaon
872,Bahuligaon
873,Nehru stadium
874,Gorhe Bk
875,Mitramandal Sabhagraha
876,Vadgaon BK Phata
877,Dr Sayyad Dawakhana
878,Shivapurwada
879,Bharat English School
880,Bahirwade Kridangan
881,Ambegaon Phata
882,Annapurna
883,Arvi Phata
884,Shivaji Maratha
885,Dudulgaon
886,Durgesh Mandir
887,Elpro Company
888,Prakash Chicken Center
889,Uttamnagar
890,Rama Krushi Rasayan Karkhana
891,Rajesh Socity Corner
892,Cipla Center
893,Gaikwadvasti Nasik Road
894,Bhilarewadi Kalyan
895,Savitribai Phule Udyan
896,Savitribai Phule Udyan
897,Kaspate Chowk
898,Power House Tulapur
899,Kaspate Chowk
900,Mankar Chowk
901,Mankar Chowk
902,Vitbhatti Nere
903,Mont Vert Society
904,Mont Vert Society
905,Kusgaon
906,MIDC Circle
907,Wakad Chowk
908,Brahma Chaitanya
909,Wakad Chowk
910,JCB
911,Savatamali mandir
912,MIDC Pimpri
913,Savtamali Mandir
914,Mordari Phata
915,Mahadev Mandir Mehendale Garage
916,Karve Nagar
917,Lakudvasti
918,Sangrun Phata
919,Minilec Company
920,Gavtevasti
921,Kalewadi Phata
922,Khadi Machine Gujarwadi
923,Garisson Engineering
924,VIT College Hostel
925,Pradhikaran Police Chowky
926,Ghanesh Peth
927,Sathe Biscuit
928,Chavannagar
929,Digambar Marble
930,Nehrunagar
931,Arvi Phata
932,PK Chowk
933,Uruli Kanchan
934,Narayaninagar
935,Malyachamala
936,Sadashiv Peth Haud
937,Pawle Chowk
938,Gruhaprakalp
939,Master Bakery
940,Trimurti Garden
941,Mohammadwadigaon
942,Jakat Naka Pisoli
943,ST Stand Indori
944,Ganesh Nagar
945,Factory Hospital
946,Ganesh Nagar
947,Elpro Company
948,Pradhikaran Police Chowky
949,Ganeshnagar Talawade Road
950,Shiroli
951,Shivaji Maharaj Putla Dapodi
952,IMD Colony
953,Fuel Depot
954,Girls Hostel
955,Vitbhatti Prayagdham
956,Dattamandir Marnewadi Road
957,Mundhwa Gaon
958,Kondhwa Dhawde
959,Kondhwale Dairy
960,Sane Chowk
961,Shikshaknagar
962,Sane Chowk
963,Gorhe Kh
964,Mhetre Vasti
965,Mhetre Vasti
966,Bungalow Number 116
967,Ganga Village
968,Mahadevnagar Manjari
969,Radhika Society
970,Dhayareswar Mandir
971,Sasanenagar
972,Benkar Vasti
973,Ramnagari
974,Benkarvasti
975,Garmal
976,Govind Mangal Karyalay
977,Rautvasti
978,Saipuram Corner
979,Sayli Restaurant
980,Vitbhatti Chande
981,Gaarmal
982,Rahatnigaon
983,Gaarmal
984,Sai Palace
985,Ghorpadi Shala
986,Laxmannagar
987,Autadewadi Phata
988,Aditya Garden City
989,Aditya Hotel
990,Purva Arcade
991,Shadawal Baba Darga
992,Shitaladevi Chowk Guruwarpeth
993,Kemsewadi
994,Peacock Garden
995,Lagadmala
996,Shivajinagar
997,Hotel Sagar
998,Harpalevasti Nhavi Sandas Road
999,Dugad Farm
1000,Kawdipat
1001,Kirkatwadi
1002,Dattakrupa Mangal Karyalay
1003,Hariprasad Bungalow
1004,Ma Na Pa Shala Wakad
1005,JCB
1006,Punawale
1007,Trinity College
1008,Karve Nagar
1009,Karve Nagar
1010,Sapras Post
1011,Shubham Hotel
1012,Gandhi Bhavan Phata
1013,Balaji Park
1014,Dapodi Mantri Niketan
1015,Kothrud Stand
1016,Kumar Park
1017,Karve Putla
1018,Jiveshwar Society
1019,Ahiregaon Phata
1020,Alhatvasti
1021,Baner Phata Aundh Road
1022,Gujrat Colony
1023,Rasrang Sweet Corner
1024,Rakshak Chowk
1025,Bhandari Niwas
1026,Ramoshiwadi
1027,Parmarnagar
1028,Shivaji Maharaj Putla Sasanenagar
1029,Shree Industries
1030,Mahabali Chowk
1031,Sharwari Complex
1032,Kakdevasti Prayagdham
1033,Thorve School
1034,Vitbhatti Vikasnagar
1035,Siporex Company Main Gate
1036,Gokul Hotel
1037,Karve Bungalow
1038,Waghere College
1039,Motherson Company
1040,Bhandarkar Road
1041,Rangehills Post Office
1042,Aynalvasti
1043,Garden City
1044,Alaka Theatre
1045,Hanuman Mandir Indori
1046,Shane Paradise socity
1047,Murkutevasti
1048,Ranwarevasti
1049,Ganjave Chowk
1050,Vaishnavi Collection
1051,Ghotawadegaon
1052,Rajendranagar corner
1053,Purva Arcade
1054,Rajendranagar corner
1055,Deccan Gymkhana
1056,Ramkrishna Math
1057,Water Purification centre
1058,NDA Hospital
1059,Water Purification centre
1060,Ganesh Mala
1061,Kolhewadi
1062,Vitthalwadi Jakat Naka
1063,Morwadi Corner
1064,Wakad Chowk
1065,Kalbhorvasti
1066,Pimplenilakh Shala
1067,Yerawada Press
1068,Poultry Farm
1069,Dhayari Maruti Mandir
1070,Mitra Mandal Sabhagruha
1071,Servants Quarters
1072,Avsarwadi
1073,Dange Chowk
1074,Daulatnagar Mumbai Pune Bypass
1075,Dhumewadi
1076,Mutton Market rangehills
1077,Dnyaneshwar Paduka Chowk
1078,Burkegaon
1079,Kalewadi
1080,Vadgaon Phata
1081,Mandai Stand
1082,Vadgaon Phata
1083,Sai Chowk Pimple Saudagar
1084,Rashmi Apartment
1085,Military Hospital Khadki
1086,Sai Chowk Pimple Saudagar
1087,GF Filters
1088,Bhosari Gaon
1089,Mulkhed
1090,Bhosari Gaon
1091,Mangdewadi Petrol Pump
1092,Vitbhatti Pashan
1093,Posco Company
1094,Tale Male
1095,Azadnagar Kothrud
1096,shitalbaug
1097,Vataremala
1098,Talegaon Nagarparishad
1099,Swargate Depo
1100,Vedant Dairy
1101,Maruti Mandir Dattanagar
1102,Velu Phata
1103,Bungalow Number 105
1104,Dhawdevasti
1105,Kalpataru Society
1106,Kalpataru Society
1107,Mental Hospital
1108,Waghjai Mandir
1109,Javalkar Nagar
1110,Ingalevasti
1111,Javalkar Nagar
1112,Kate Patil Chowk
1113,Sant Tukaramnagar
1114,Kate Patil Chowk
1115,Pandavnagar Pashan
1116,Raje Shivajinagar Phata
1117,Govind Yashada Chowk
1118,"Vishwashanti Colony,PK Chowk"
1119,NIBM Corner
1120,"Vishwashanti Colony,PK Chowk"
1121,Smashanbhumi
1122,"Rose Land, Nisarga  Nirmiti Society"
1123,"Rose Land, Nisarga  Nirmiti Society"
1124,Vitthalwadi Sinhagad Road
1125,Sairatna
1126,Kokane Chowk
1127,Alpana Talkies
1128,Kokane Chowk
1129,Waki Kh
1130,Shivar Chowk
1131,Ingale Hospital
1132,Shivar Chowk
1133,Kalewadi Ma Na Pa Shala
1134,Gate Number 10
1135,Kadamvasti Loni
1136,Nanded Phata
1137,Shirke Company
1138,Govind Yashada Chowk
1139,Dattawadi Mhasoba Chowk
1140,PAndT Colony
1141,Raviraj Hotel
1142,Amarjai Mandir
1143,Juna Hinjawadi Jakat Naka
1144,Aai mata Mandir
